Gold
Date,Open,High,Low,Close,Volume,Adjacent close
2016-01-26,67.269997,69.57,67.269997,68.970001,1333500,68.47768
2016-01-25,65.949997,66.330002,65.139999,65.610001,738600,65.141664
2016-01-22,64.760002,65.940002,64.339996,65.669998,780300,65.201233
2016-01-21,63.900002,65.580002,63.349998,65.120003,1009500,64.655164
2016-01-20,62.450001,63.860001,62.07,63.330002,927400,62.87794
2016-01-19,62.02,62.209999,60.139999,60.880001,719700,60.445428
2016-01-15,62.330002,63.490002,61.84,62.119999,1196400,61.676574
2016-01-14,61.169998,62.060001,60.57,61.029999,668300,60.594355
2016-01-13,61.23,62.139999,60.57,61.720001,632800,61.279432
2016-01-12,62.669998,62.77,59.959999,60.990002,704400,60.554643
2016-01-11,64.300003,64.470001,62.310001,62.68,602200,62.232578
2016-01-08,64.169998,64.360001,63.009998,63.779999,662200,63.324725
2016-01-07,64.389999,66.129997,64.00,65.739998,1063800,65.270733
2016-01-06,63.299999,63.470001,62.68,63.080002,810900,62.629725
2016-01-05,62.82,62.889999,62.130001,62.580002,407300,62.133294
2016-01-04,63.029999,63.66,61.66,62.48,888100,62.034005
2015-12-31,61.720001,62.029999,61.43,61.93,275700,61.487932
2015-12-30,61.790001,62.34,61.52,62.049999,321200,61.607074
2015-12-29,62.939999,63.110001,62.00,62.400002,331600,61.954578
2015-12-28,62.369999,62.48,61.529999,62.080002,252700,61.636863
2015-12-24,63.419998,63.50,62.939999,63.18,206800,62.729009
2015-12-23,62.970001,63.66,62.189999,62.860001,1098000,62.411294
2015-12-22,60.689999,61.450001,60.669998,60.869999,610300,60.435497
2015-12-21,60.50,60.970001,59.77,60.080002,536000,59.651139
2015-12-18,59.450001,60.50,59.18,59.52,892300,59.095135
2015-12-17,60.43,60.689999,59.080002,59.240002,1111500,58.817135
2015-12-16,61.290001,62.560001,60.66,62.189999,651600,61.746074
2015-12-15,61.18,61.389999,60.080002,60.349998,686000,59.919209
2015-12-14,61.93,62.139999,59.959999,60.049999,791100,59.621351
2015-12-11,61.689999,63.060001,61.66,62.400002,499700,61.954578
2015-12-10,62.84,63.509998,62.619999,62.650002,344000,62.202794
2015-12-09,62.040001,63.860001,62.029999,62.900002,613600,62.451009
2015-12-08,61.77,61.93,60.73,61.34,658500,60.902143
2015-12-07,63.509998,63.880001,62.279999,62.669998,609800,62.222648
2015-12-04,63.110001,65.349998,63.07,65.18,833600,64.714733
2015-12-03,63.68,64.07,62.75,63.029999,679500,62.580079
2015-12-02,62.77,63.509998,62.07,62.709999,759400,62.262363
2015-12-01,61.68,63.549999,61.450001,63.450001,1033200,62.997082
2015-11-30,60.18,60.93,60.080002,60.599998,507000,60.167424
2015-11-27,60.540001,60.959999,59.869999,60.18,332500,59.750424
2015-11-25,61.049999,61.299999,60.009998,60.380001,552800,59.948997
2015-11-24,60.830002,61.759998,60.669998,61.509998,683200,61.070928
2015-11-23,59.459999,60.169998,59.32,59.52,649300,59.095135
2015-11-20,61.450001,61.57,59.509998,59.82,716100,59.392993
2015-11-19,62.00,62.240002,61.110001,61.50,641200,61.061001
2015-11-18,59.990002,61.57,59.490002,61.450001,732600,61.011359
2015-11-17,60.529999,60.560001,58.950001,59.400002,1014600,58.975993
2015-11-16,60.619999,61.509998,60.540001,60.990002,859100,60.554643
2015-11-13,59.75,60.599998,59.630001,60.080002,810000,59.651139
2015-11-12,58.880001,60.790001,58.799999,59.939999,884000,59.512135
2015-11-11,59.509998,60.419998,59.450001,60.25,953000,59.819924
2015-11-10,59.220001,60.130001,58.77,59.619999,1206800,59.19442
2015-11-09,59.810001,61.099998,59.279999,60.939999,1261100,60.504997
2015-11-06,59.650002,60.41,59.330002,59.740002,1659400,59.313566
2015-11-05,63.68,63.990002,62.009998,62.459999,1144200,62.014148
2015-11-04,66.860001,67.199997,64.839996,64.919998,912600,64.456587
2015-11-03,65.989998,66.760002,65.300003,66.129997,819500,65.657949
2015-11-02,66.120003,67.099998,65.779999,66.669998,768100,66.194095
2015-10-30,67.32,68.050003,66.790001,66.870003,775700,66.392672
2015-10-29,68.349998,69.279999,66.800003,67.00,1136500,66.521741
2015-10-28,70.57,72.07,68.160004,69.330002,1159600,68.835111
2015-10-27,68.550003,69.739998,68.290001,69.160004,499400,68.666326
2015-10-26,70.139999,70.400002,68.830002,68.839996,814900,68.348603
2015-10-23,70.360001,71.660004,69.419998,71.190002,792600,70.681834
2015-10-22,68.220001,69.699997,68.019997,69.230003,591300,68.735826
2015-10-21,69.709999,69.989998,68.620003,69.139999,697300,68.646465
2015-10-20,69.459999,70.870003,69.449997,70.230003,949300,69.728688
2015-10-19,69.480003,69.989998,67.989998,68.230003,1114800,67.742964
2015-10-16,69.900002,70.959999,69.07,69.290001,1014600,68.795396
2015-10-15,69.150002,70.389999,68.839996,69.75,1030100,69.252111
2015-10-14,68.489998,70.540001,68.349998,69.959999,1205700,69.460611
2015-10-13,66.089996,67.650002,65.790001,66.739998,618200,66.263595
2015-10-12,68.870003,68.900002,66.110001,66.730003,905800,66.253672
2015-10-09,67.32,68.120003,66.830002,67.860001,1388700,67.375603
2015-10-08,65.220001,67.50,65.169998,65.550003,1084500,65.082095
2015-10-07,66.559998,66.629997,64.900002,65.620003,1032200,65.151595
2015-10-06,64.860001,65.860001,63.580002,64.739998,931800,64.277871
2015-10-05,63.259998,64.209999,63.169998,63.91,951900,63.453798
2015-10-02,60.720001,63.50,60.639999,63.349998,1398900,62.897794
2015-10-01,60.27,60.790001,58.34,58.73,926000,58.310773
2015-09-30,57.860001,59.220001,57.509998,59.09,750000,58.668204
2015-09-29,57.93,58.849998,57.369999,57.720001,778600,57.307985
2015-09-28,59.110001,59.220001,57.470001,57.799999,717000,57.387412
2015-09-25,59.040001,59.810001,58.939999,59.59,760600,59.164635
2015-09-24,57.810001,60.950001,57.639999,60.799999,1331600,60.365997
2015-09-23,57.84,57.900002,56.57,56.75,431000,56.344908
2015-09-22,57.509998,58.009998,56.580002,56.889999,717700,56.483908
2015-09-21,59.529999,60.189999,58.470001,58.830002,1168700,58.410062
2015-09-18,60.52,60.98,59.630001,60.439999,2912200,60.008566
